"agent","system","model_name","topic","level","n_samples","n_humans_all","n_humans_attnpass"
"human","human",NA,"astronomy","control",49,49,49
"human","human",NA,"astronomy","distractor",56,56,56
"human","human",NA,"astronomy","repeat_long",51,51,51
"human","human",NA,"astronomy","repeat_short",45,45,45
"human","human",NA,"fabrics","control",54,54,54
"human","human",NA,"fabrics","distractor",38,38,38
"human","human",NA,"fabrics","repeat_long",54,54,54
"human","human",NA,"fabrics","repeat_short",55,55,55
"human","human",NA,"fruits","control",45,45,45
"human","human",NA,"fruits","distractor",55,55,55
"human","human",NA,"fruits","repeat_long",52,52,52
"human","human",NA,"fruits","repeat_short",49,49,49
"human","human",NA,"martial_arts","control",53,53,53
"human","human",NA,"martial_arts","distractor",52,52,52
"human","human",NA,"martial_arts","repeat_long",44,44,44
"human","human",NA,"martial_arts","repeat_short",52,52,52
"model","prompting","cohere_command-a","astronomy","control",20,NA,NA
"model","prompting","cohere_command-a","astronomy","distractor",20,NA,NA
"model","prompting","cohere_command-a","astronomy","repeat_long",20,NA,NA
"model","prompting","cohere_command-a","astronomy","repeat_short",20,NA,NA
"model","prompting","cohere_command-a","fabrics","control",20,NA,NA
"model","prompting","cohere_command-a","fabrics","distractor",20,NA,NA
"model","prompting","cohere_command-a","fabrics","repeat_long",20,NA,NA
"model","prompting","cohere_command-a","fabrics","repeat_short",20,NA,NA
"model","prompting","cohere_command-a","fruits","control",20,NA,NA
"model","prompting","cohere_command-a","fruits","distractor",20,NA,NA
"model","prompting","cohere_command-a","fruits","repeat_long",20,NA,NA
"model","prompting","cohere_command-a","fruits","repeat_short",20,NA,NA
"model","prompting","cohere_command-a","martial_arts","control",20,NA,NA
"model","prompting","cohere_command-a","martial_arts","distractor",20,NA,NA
"model","prompting","cohere_command-a","martial_arts","repeat_long",20,NA,NA
"model","prompting","cohere_command-a","martial_arts","repeat_short",20,NA,NA
"model","compactor","cohere_command-a__wm","astronomy","control",20,NA,NA
"model","compactor","cohere_command-a__wm","astronomy","distractor",20,NA,NA
"model","compactor","cohere_command-a__wm","astronomy","repeat_long",20,NA,NA
"model","compactor","cohere_command-a__wm","astronomy","repeat_short",20,NA,NA
