participant_id,group
P0001,1
P0002,2
P0003,3
P0004,4
P0005,5
P0006,6
P0007,7
P0008,8
P0009,9
P0010,10
P0011,11
P0012,12
P0013,13
P0014,14
P0015,15
P0016,16
P0017,17
P0018,18
P0019,19
P0020,20
P0021,21
P0022,22
P0023,23
P0024,24
P0025,1
P0026,2
P0027,3
P0028,4
P0029,5
P0030,6
P0031,7
P0032,8
P0033,9
P0034,10
P0035,11
P0036,12
P0037,13
P0038,14
P0039,15
P0040,16
P0041,17
P0042,18
P0043,19
P0044,20
P0045,21
P0046,22
P0047,23
P0048,24
P0049,1
P0050,2
P0051,3
P0052,4
P0053,5
P0054,6
P0055,7
P0056,8
P0057,9
P0058,10
P0059,11
P0060,12
P0061,13
P0062,14
P0063,15
P0064,16
P0065,17
P0066,18
P0067,19
P0068,20
P0069,21
P0070,22
P0071,23
P0072,24
P0073,1
P0074,2
P0075,3
P0076,4
P0077,5
P0078,6
P0079,7
P0080,8
P0081,9
P0082,10
P0083,11
P0084,12
P0085,13
P0086,14
P0087,15
P0088,16
P0089,17
P0090,18
P0091,19
P0092,20
P0093,21
P0094,22
P0095,23
P0096,24
P0097,1
P0098,2
P0099,3
P0100,4
P0101,5
P0102,6
P0103,7
P0104,8
P0105,9
P0106,10
P0107,11
P0108,12
P0109,13
P0110,14
P0111,15
P0112,16
P0113,17
P0114,18
P0115,19
P0116,20
P0117,21
P0118,22
P0119,23
P0120,24
P0121,1
P0122,2
P0123,3
P0124,4
P0125,5
P0126,6
P0127,7
P0128,8
P0129,9
P0130,10
P0131,11
P0132,12
P0133,13
P0134,14
P0135,15
P0136,16
P0137,17
P0138,18
P0139,19
P0140,20
P0141,21
P0142,22
P0143,23
P0144,24
P0145,1
P0146,2
P0147,3
P0148,4
P0149,5
P0150,6
P0151,7
P0152,8
P0153,9
P0154,10
P0155,11
P0156,12
P0157,13
P0158,14
P0159,15
P0160,16
P0161,17
P0162,18
P0163,19
P0164,20
P0165,21
P0166,22
P0167,23
P0168,24
P0169,1
P0170,2
P0171,3
P0172,4
P0173,5
P0174,6
P0175,7
P0176,8
P0177,9
P0178,10
P0179,11
P0180,12
P0181,13
P0182,14
P0183,15
P0184,16
P0185,17
P0186,18
P0187,19
P0188,20
P0189,21
P0190,22
P0191,23
P0192,24
P0193,1
P0194,2
P0195,3
P0196,4
P0197,5
P0198,6
P0199,7
P0200,8
P0201,9
P0202,10
P0203,11
P0204,12
P0205,13
P0206,14
P0207,15
P0208,16
P0209,17
P0210,18
P0211,19
P0212,20
P0213,21
P0214,22
P0215,23
P0216,24
P0217,1
P0218,2
P0219,3
P0220,4
P0221,5
P0222,6
P0223,7
P0224,8
P0225,9
P0226,10
P0227,11
P0228,12
P0229,13
P0230,14
P0231,15
P0232,16
P0233,17
P0234,18
P0235,19
P0236,20
P0237,21
P0238,22
P0239,23
P0240,24
