StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q1,birds_timing_passage_First Click,birds_timing_passage_Last Click,birds_timing_passage_Page Submit,birds_timing_passage_Click Count,QB_timing_First Click,QB_timing_Last Click,QB_timing_Page Submit,QB_timing_Click Count,QB1,QB2,QB3,QB4,QB5,QB_A,QB_passage_1,QB_passage_2,QB_comment,fruits_timing_passage_First Click,fruits_timing_passage_Last Click,fruits_timing_passage_Page Submit,fruits_timing_passage_Click Count,QF_timing_First Click,QF_timing_Last Click,QF_timing_Page Submit,QF_timing_Click Count,QF1,QF2,QF3,QF4,QF5,QF_A,QF_passage_1,QF_passage_2,QF_comment,astronomy_timing_passage_First Click,astronomy_timing_passage_Last Click,astronomy_timing_passage_Page Submit,astronomy_timing_passage_Click Count,QA_timing_First Click,QA_timing_Last Click,QA_timing_Page Submit,QA_timing_Click Count,QA1,QA2,QA3,QA4,QA5,QA_A,QA_passage_1,QA_passage_2,QA_comment,musical_instruments_timing_passage_First Click,musical_instruments_timing_passage_Last Click,musical_instruments_timing_passage_Page Submit,musical_instruments_timing_passage_Click Count,QI_timing_First Click,QI_timing_Last Click,QI_timing_Page Submit,QI_timing_Click Count,QI1,QI2,QI3,QI4,QI5,QI_A,QI_passage_1,QI_passage_2,QI_comment,group,PROLIFIC_ID,SESSION_ID,STUDY_ID,passage_count,birds_cond,fruits_cond,astronomy_cond,musical_instruments_cond,Q_DataPolicyViolations
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you consent to participate in this study?,"Before beginning, let's ensure your audio is working!

Make sure that you can hear the following audio clip, then select the appropriate answer(s) below.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which of the following statements accurately describes the ashen skreel's plumage? Select all that apply.,Which of the following does the Copperhook finch eat? Select all that apply.,Which of the following correctly describes a difference between the two birds? Select all that apply.,Which of the following correctly matches the bird to its Latin name? Select all that apply.,Which of the following accurately describes the Copperhook finch's plumage? Select all that apply.,Which of the following describes the two birds? This is an attention check question. Select only the option that mentions two colors.,How difficult did you find the passage and questions? - Passage,How difficult did you find the passage and questions? - Questions,"Is there anything about the study you found notable or wanted to let us know about? For example: comments about the passage and/or narration, how challenging the questions were, anything you notice about yourself while doing the task, or any distractions or technical issues.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which of the following correctly describes the Tawnberry's flesh? Select all that apply.,Which of the following accurately describes the taste of the Blisterfig? Select all that apply.,Which of the following correctly describes a difference between the two fruits? Select all that apply.,In which of the following months are both tawnberries and blisterfigs available? Select all that apply.,Which of the following accurately describes the Tawnberry's flavor? Select all that apply.,Which of the following describes the winged fig incorrectly? This is an attention check. Select only the option that names a color mentioned in the passage.,How difficult did you find the passage and questions? - Passage,How difficult did you find the passage and questions? - Questions,"Is there anything about the study you found notable or wanted to let us know about? For example: comments about the passage and/or narration, how challenging the questions were, anything you notice about yourself while doing the task, or any distractions or technical issues.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What do astronomers study the Pictor Nebula for? Select all that apply.,Which of the following correctly describes the location of the Aquila Pulsar relative to Earth? Select all that apply.,Which of the following correctly describes differences between the Pictor Nebula and the Aquila Pulsar? Select all that apply.,Which of the following correctly matches each object to its location? Select all that apply.,Which of the following correctly describes how the Aquila Pulsar is observed? Select all that apply.,"Which of the following topics are uncovered in the passage? If you are paying attention, select only ""what the objects are used to study"".",How difficult did you find the passage and questions? - Passage,How difficult did you find the passage and questions? - Questions,"Is there anything about the study you found notable or wanted to let us know about? For example: comments about the passage and/or narration, how challenging the questions were, anything you notice about yourself while doing the task, or any distractions or technical issues.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which of the following correctly describes the Belvero's body shape? Select all that apply.,Which of the following correctly describes the sound of the Kasten-zither? Select all that apply.,Which of the following correctly describes both the Belvero and the Kasten-zither? Select all that apply.,Which of the following correctly describes the origins of the two instruments? Select all that apply.,Which of the following accurately describes the sound of the Belvero? Select all that apply.,Which of the following describes a similarity between the two instruments? This is an attention check question. Select only the option that contains a year.,How difficult did you find the passage and questions? - Passage,How difficult did you find the passage and questions? - Questions,"Is there anything about the previous task you found notable or wanted to let us know about? For example: comments about the passage and/or narration, how challenging the questions were, anything you notice about yourself while doing the task, or any distractions or technical issues.",group,PROLIFIC_ID,SESSION_ID,STUDY_ID,passage_count,birds_cond,fruits_cond,astronomy_cond,musical_instruments_cond,Q_DataPolicyViolations
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1721374438""}","{""ImportId"":""QID1721374457""}","{""ImportId"":""QID401_FIRST_CLICK""}","{""ImportId"":""QID401_LAST_CLICK""}","{""ImportId"":""QID401_PAGE_SUBMIT""}","{""ImportId"":""QID401_CLICK_COUNT""}","{""ImportId"":""QID45_FIRST_CLICK""}","{""ImportId"":""QID45_LAST_CLICK""}","{""ImportId"":""QID45_PAGE_SUBMIT""}","{""ImportId"":""QID45_CLICK_COUNT""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID1721374237_1""}","{""ImportId"":""QID1721374237_2""}","{""ImportId"":""QID1721374238_TEXT""}","{""ImportId"":""QID101_FIRST_CLICK""}","{""ImportId"":""QID101_LAST_CLICK""}","{""ImportId"":""QID101_PAGE_SUBMIT""}","{""ImportId"":""QID101_CLICK_COUNT""}","{""ImportId"":""QID2_FIRST_CLICK""}","{""ImportId"":""QID2_LAST_CLICK""}","{""ImportId"":""QID2_PAGE_SUBMIT""}","{""ImportId"":""QID2_CLICK_COUNT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID201_FIRST_CLICK""}","{""ImportId"":""QID201_LAST_CLICK""}","{""ImportId"":""QID201_PAGE_SUBMIT""}","{""ImportId"":""QID201_CLICK_COUNT""}","{""ImportId"":""QID46_FIRST_CLICK""}","{""ImportId"":""QID46_LAST_CLICK""}","{""ImportId"":""QID46_PAGE_SUBMIT""}","{""ImportId"":""QID46_CLICK_COUNT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID1721374263_1""}","{""ImportId"":""QID1721374263_2""}","{""ImportId"":""QID1721374264_TEXT""}","{""ImportId"":""QID301_FIRST_CLICK""}","{""ImportId"":""QID301_LAST_CLICK""}","{""ImportId"":""QID301_PAGE_SUBMIT""}","{""ImportId"":""QID301_CLICK_COUNT""}","{""ImportId"":""QID47_FIRST_CLICK""}","{""ImportId"":""QID47_LAST_CLICK""}","{""ImportId"":""QID47_PAGE_SUBMIT""}","{""ImportId"":""QID47_CLICK_COUNT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID1721374239_1""}","{""ImportId"":""QID1721374239_2""}","{""ImportId"":""QID1721374240_TEXT""}","{""ImportId"":""group""}","{""ImportId"":""PROLIFIC_ID""}","{""ImportId"":""SESSION_ID""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""passage_count""}","{""ImportId"":""birds_cond""}","{""ImportId"":""fruits_cond""}","{""ImportId"":""astronomy_cond""}","{""ImportId"":""musical_instruments_cond""}","{""ImportId"":""Q_DataPolicyViolations""}"
2026-06-29 14:35:30,2026-06-29 14:35:50,IP Address,108.6.103.211,13,19,False,2026-06-29 14:36:43,R_7CTTBqZ9Vn6zyFC,,,,,40.674,-73.9701,anonymous,EN,I consent,"412,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.448,5.448,5.453,1,,,,,,,,,,,,,,2,,,,0,control,repeat_short,distractor,repeat_long,
2026-06-29 15:20:53,2026-06-29 15:36:17,IP Address,108.6.103.211,100,924,True,2026-06-29 15:36:18,R_5XlGXJnZdrSY5zz,,,,,40.674,-73.9701,anonymous,EN,I consent,"412,7",1.338,81.258,81.276,2,4.802,12.849,12.854,9,"Mostly gray, with a lighter patch at the throat","Fruit,Nectar","The ashen skreel eats carrion, while the Copperhook finch eats seeds",Ashen skreel -- Plumbea rufa,A bright yellow crest,Residency versus migration,6,4,,5.161,111.042,111.046,4,0.966,9.219,9.238,10,Translucent near the core,Peppery aftertaste,"The Tawnberry has purple flesh, while the Blisterfig has orange-pink flesh","May,None of the above",Mild and watery,Grows in clusters,8,7,,1.235,241.749,241.752,26,0.777,18.675,18.679,7,How a dense star pulls material from a nearby companion,The Aquila Pulsar is further from the center of the galaxy than Earth,"The Pictor Nebula is studied to understand star formation, while the Aquila Pulsar is observed to understand how gravitational waves affect black holes","Pictor Nebula — about six thousand light-years away, toward the galactic center",It is observed using optical telescopes sensitive to red-light emission,How old the objects are,8,5,,1.18,387.331,387.349,4,1.921,21.369,21.374,10,"It has a flat, rectangular body","Deep and resonant, with a short decay","The Belvero has a flat, shallow body, while the Kasten-zither makes a bright sound that fades quickly",None of the above,Its sound is bright and dry,"One instrument played upright, the other laid flat",7,5,,2,,,,,control,repeat_short,distractor,repeat_long,
2026-06-29 15:37:05,2026-06-29 15:37:08,IP Address,108.6.103.211,100,3,True,2026-06-29 15:37:09,R_5d0qaA4ptitj5dR,,,,,40.674,-73.9701,anonymous,EN,I do not consent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0cde02nsk9q,6a42c46e28d70095080a3afe,0,,,,,
2026-06-29 15:44:59,2026-06-29 16:04:42,IP Address,71.236.190.72,100,1182,True,2026-06-29 16:04:43,R_70CYflUnhV3eXy9,,,,,45.5135,-122.5041,anonymous,EN,I consent,"412,7",2.963,77.299,77.306,2,5.653,66.269,66.275,8,"Mostly gray, with a lighter patch at the throat",Seeds,"The ashen skreel eats carrion, while the Copperhook finch eats seeds","Copperhook finch -- Fringilla vorax,Ashen skreel -- Plumbea rufa",A rust-orange body,Green versus black,4,6,"none, no issues",2.341,107.178,107.198,2,8.947,69.439,69.447,15,Deep purple,A warm spicy flavor,"The Tawnberry has purple flesh, while the Blisterfig has orange-pink flesh,The Blisterfig has a spicy-sweet taste, while the Tawnberry is rich and jammy","June,July","Rich and sweet,Jammy finish",Purple,4,5,"none, no issues",1.902,265.381,265.399,2,12.133,65.954,65.971,10,How a dense star pulls material from a nearby companion,The Aquila Pulsar is about four thousand light-years away from Earth,"The Pictor Nebula is observed with optical telescopes in red light, while the Aquila Pulsar can only be detected by radio telescopes","Aquila Pulsar — about four thousand light-years away, between spiral arms,Pictor Nebula — about twenty-five thousand light-years away, near the outer halo",It is observed using radio telescopes,What the objects are used to study,6,6,"none, no issues",2.201,242.228,242.243,2,7.627,47.836,47.842,9,It has a pear-shaped body,"Warm and full, sustaining and carrying across a room","The Kasten-zither has a flat, shallow body, while the Belvero produces a warm, full tone",The Kasten-zither was first documented by Gunther Kasten,"It produces a warm, full tone,It produces a rich buzzing tone, like a horn","One instrument played upright, the other laid flat,One instrument is plucked with fingernails, the other with a pick",8,7,"none, no issues",1,,6a42cae6391ca48cb1b860d5,6a42c46e28d70095080a3afe,,control,repeat_short,repeat_long,distractor,
2026-06-29 15:47:37,2026-06-29 16:09:15,IP Address,73.245.14.137,100,1298,True,2026-06-29 16:09:16,R_5je8pcAi74UnunK,,,,,25.082,-80.4487,anonymous,EN,I consent,"412,7",2.309,236.104,236.109,2,23.596,88.36,88.368,11,"Mostly gray, with a lighter patch at the throat","Seeds,Grubs","The ashen skreel eats carrion, while the Copperhook finch eats seeds,The ashen skreel is mostly gray, whereas the Copperhook finch is mostly orange","Copperhook finch -- Fringilla vorax,Ashen skreel -- Plumbea rufa","A rust-orange body,Dark tips to the wings",Green versus black,3,5,N/A,2.214,239.575,239.579,2,5.536,133.736,133.744,14,Deep purple,"Sweet,A warm spicy flavor","The Blisterfig has a spicy-sweet taste, while the Tawnberry is rich and jammy","July,August","Rich and sweet,Jammy finish",Purple,2,5,N/A,1.606,89.283,89.293,2,11.317,155.835,155.843,10,How new stars take shape inside clouds of gas,The Aquila Pulsar is about four thousand light-years away from Earth,"The Pictor Nebula is studied to understand star formation, while the Aquila Pulsar is observed to understand how gravitational waves affect black holes,The Pictor Nebula is observed with optical telescopes in red light, while the Aquila Pulsar can only be detected by radio telescopes,The Aquila Pulsar is closer to Earth than the Pictor Nebula","Pictor Nebula — about six thousand light-years away, toward the galactic center,Aquila Pulsar — about four thousand light-years away, between spiral arms",It is observed using radio telescopes,What the objects are used to study,2,3,N/A,3.973,105.514,105.524,2,12.052,101.553,101.565,10,"It has a deep rounded belly,It has a pear-shaped body","Bright and dry, fading quickly after each pluck","The Belvero produces a pear-shaped body, while the Kasten-zither makes a bright sound that fades quickly,The Kasten-zither has a flat, shallow body, while the Belvero produces a warm, full tone","The Belvero was documented before the Kasten-zither,The Kasten-zither was first documented by Gunther Kasten","It produces a warm, full tone","First documented in 1444, the Belvero is the older of the two",1,4,N/A,17,,6a42cbb2570eab2a168d81b2,6a42c46e28d70095080a3afe,,repeat_long,distractor,control,repeat_short,
2026-06-29 15:52:11,2026-06-29 16:22:28,IP Address,96.231.34.9,100,1817,True,2026-06-29 16:22:29,R_3vkUhnowRBPJlxX,,,,,38.8672,-77.6488,anonymous,EN,I consent,"412,7",1.764,76.45,76.452,2,5.896,79.409,79.41,21,"Mostly gray, with a lighter patch at the throat",Seeds,"The ashen skreel is mostly gray, whereas the Copperhook finch is mostly orange","Copperhook finch -- Fringilla vorax,Ashen skreel -- Plumbea rufa","A rust-orange body,A bright yellow crest",None of the above,8,9,,3.983,120.868,120.875,2,5.26,152.537,152.54,28,Orange-pink,A warm spicy flavor,"The Blisterfig has purple flesh, while the Tawnberry is orange-pink","June,August",Jammy finish,Purple,8,6,No,1.433,243.035,243.044,2,7.187,82.377,82.379,19,How a dense star pulls material from a nearby companion,The Aquila Pulsar is about six thousand light-years away from Earth,"The Pictor Nebula is closer to Earth than the Aquila Pulsar,The Pictor Nebula is observed with optical telescopes in red light, while the Aquila Pulsar can only be detected by radio telescopes","Aquila Pulsar — about four thousand light-years away, between spiral arms,Pictor Nebula — about twenty-five thousand light-years away, near the outer halo",It is observed using optical telescopes sensitive to red-light emission,What the objects are used to study,10,9,,2.59,258.88,258.884,3,6.102,87.66,87.662,17,"It has a flat, rectangular body","Bright and dry, fading quickly after each pluck","The Belvero has a flat, shallow body, while the Kasten-zither makes a bright sound that fades quickly","The Kasten-zither was first documented by Gunther Kasten,The Belvero was first documented by Alonso Belver","It produces a rich buzzing tone, like a horn","One instrument played upright, the other laid flat,First documented in 1444, the Belvero is the older of the two",10,9,,1,,6a42cce1de839f41fedbbceb,6a42c46e28d70095080a3afe,,control,repeat_short,repeat_long,distractor,
2026-06-29 15:54:13,2026-06-29 16:24:40,IP Address,66.41.232.172,100,1827,True,2026-06-29 16:24:41,R_5CIpdp8shtg9JNR,,,,,45.1889,-93.3975,anonymous,EN,I consent,"412,7",3.5,101.356,101.373,2,33.432,143.455,143.473,14,"Mostly gray, with a lighter patch at the throat,Faint streaking along the back","Fruit,Grubs","The ashen skreel eats carrion, while the Copperhook finch eats seeds,The ashen skreel is mostly gray, whereas the Copperhook finch is mostly orange","Copperhook finch -- Fringilla vorax,Ashen skreel -- Plumbea rufa","A rust-orange body,Dark tips to the wings",Green versus black,4,4,Seemed easier to follow than the first two passage. Much more interesting passage. Less distracted than the other passages,6.785,83.979,83.993,2,17.524,118.867,118.88,11,"Deep purple,Whitish, similar to a blueberry","Peppery aftertaste,A warm spicy flavor","The Tawnberry has purple flesh, while the Blisterfig has orange-pink flesh,The Tawnberry ripens in June to July, while the Blisterfig ripens in August to September","July,August",None of the above,Purple,4,4,No technical issues. Easier to follow than the first passage. Relatable,9.737,252.989,253.006,2,11.218,211.996,212.013,19,"How star formation stops happening,How stars of the same age grow old together","The Aquila Pulsar is about four thousand light-years away from Earth,The Aquila Pulsar is further from the center of the galaxy than Earth","The Pictor Nebula is closer to Earth than the Aquila Pulsar,The Pictor Nebula is observed with optical telescopes in red light, while the Aquila Pulsar can only be detected by radio telescopes","Aquila Pulsar — about four thousand light-years away, between spiral arms","It is observed using optical telescopes sensitive to red-light emission,is observed to measure how its size changes over time",What the objects are used to study,8,7,No technical issues experienced. The wordings and descriptions seemed similar and very confusing,3.972,246.094,246.11,2,15.893,138.249,138.265,12,"It has a deep rounded belly,It has a pear-shaped body","Warm and full, sustaining and carrying across a room,Bright and dry, fading quickly after each pluck","The Belvero has a flat, shallow body, while the Kasten-zither makes a bright sound that fades quickly,The Belvero produces a pear-shaped body, while the Kasten-zither makes a bright sound that fades quickly","The Belvero was documented before the Kasten-zither,The Kasten-zither was first documented by Gunther Kasten","Its sound is bright and dry,It produces a rich buzzing tone, like a horn","First documented in 1444, the Belvero is the older of the two",4,4,"Longer passage but easier and more interesting to follow than the first passage. Clearer descriptions ",8,,6a42cd469611a062f725b913,6a42c46e28d70095080a3afe,,repeat_short,control,distractor,repeat_long,
2026-06-29 16:01:52,2026-06-29 16:26:23,IP Address,99.183.232.207,100,1470,True,2026-06-29 16:26:24,R_3NQWlNjHs3q6Ly9,,,,,41.5548,-87.6593,anonymous,EN,I consent,"412,7",4.216,103.853,103.857,2,3.9,129.315,129.318,14,"Mostly gray, with a lighter patch at the throat","Fruit,Seeds","The ashen skreel eats carrion, while the Copperhook finch eats seeds,The ashen skreel is mostly gray, whereas the Copperhook finch is mostly orange",Ashen skreel -- Fringilla rufa,A rust-orange body,Green versus black,5,5,,1.428,79.626,79.629,2,5.603,65.954,65.956,12,Deep purple,"Sweet,A warm spicy flavor","The Tawnberry has purple flesh, while the Blisterfig has orange-pink flesh,The Blisterfig has a spicy-sweet taste, while the Tawnberry is rich and jammy,The Blisterfig has purple flesh, while the Tawnberry is orange-pink",August,"Rich and sweet,Jammy finish",Purple,3,4,,2.082,245.848,245.852,2,13.785,113.614,113.618,13,How star formation stops happening,The Aquila Pulsar is closer to the center of the galaxy than Earth,"The Pictor Nebula is observed with optical telescopes in red light, while the Aquila Pulsar can only be detected by radio telescopes","Pictor Nebula — about six thousand light-years away, toward the galactic center,Aquila Pulsar — about three thousand light-years away, in a dense star field",It is observed using radio telescopes,What the objects are used to study,6,7,,1.933,242.747,242.753,2,4.673,85.032,85.035,11,It has a pear-shaped body,"Bright and dry, fading quickly after each pluck","The Belvero produces a pear-shaped body, while the Kasten-zither makes a bright sound that fades quickly,The Kasten-zither has a flat, shallow body, while the Belvero produces a warm, full tone",The Belvero was documented before the Kasten-zither,"It produces a warm, full tone,Its sound carries well across a room","First documented in 1444, the Belvero is the older of the two",3,5,,8,,6a42cb5b25faa15f3e9e1095,6a42c46e28d70095080a3afe,,repeat_short,control,distractor,repeat_long,
