participant,topic,condition,group,exact,partial,n_correct,n_questions
P01,birds,repeat_long,17,0.4,0.76,2,5
P01,fruits,distractor,17,0.6,0.9199999999999999,3,5
P01,astronomy,control,17,0.2,0.68,1,5
P01,musical_instruments,repeat_short,17,0.4,0.8,2,5
P02,birds,repeat_short,8,0.2,0.6799999999999999,1,5
P02,fruits,control,8,0.0,0.6799999999999999,0,5
P02,astronomy,distractor,8,0.0,0.52,0,5
P02,musical_instruments,repeat_long,8,0.2,0.6799999999999999,1,5
P03,birds,repeat_short,8,0.2,0.76,1,5
P03,fruits,control,8,0.8,0.9199999999999999,4,5
P03,astronomy,distractor,8,0.2,0.8400000000000001,1,5
P03,musical_instruments,repeat_long,8,0.2,0.8,1,5
P04,birds,distractor,24,0.0,0.4800000000000001,0,5
P04,fruits,repeat_long,24,0.0,0.68,0,5
P04,astronomy,repeat_short,24,0.2,0.56,1,5
P04,musical_instruments,control,24,0.0,0.68,0,5
P05,birds,repeat_long,17,0.2,0.6799999999999999,1,5
P05,fruits,distractor,17,0.6,0.8400000000000001,3,5
P05,astronomy,control,17,0.4,0.8400000000000001,2,5
P05,musical_instruments,repeat_short,17,0.6,0.8800000000000001,3,5
P06,birds,distractor,24,0.2,0.7200000000000001,1,5
P06,fruits,repeat_long,24,0.4,0.8,2,5
P06,astronomy,repeat_short,24,0.0,0.7200000000000001,0,5
P06,musical_instruments,control,24,0.2,0.64,1,5
P07,birds,repeat_short,8,0.4,0.72,2,5
P07,fruits,control,8,0.0,0.48,0,5
P07,astronomy,distractor,8,0.0,0.56,0,5
P07,musical_instruments,repeat_long,8,0.2,0.8,1,5
P08,birds,control,1,0.6,0.8,3,5
P08,fruits,repeat_short,1,0.6,0.8400000000000001,3,5
P08,astronomy,repeat_long,1,0.0,0.6799999999999999,0,5
P08,musical_instruments,distractor,1,0.4,0.76,2,5
P09,birds,distractor,24,0.2,0.76,1,5
P09,fruits,repeat_long,24,0.6,0.8400000000000001,3,5
P09,astronomy,repeat_short,24,0.2,0.72,1,5
P09,musical_instruments,control,24,0.4,0.8400000000000001,2,5
P10,birds,control,1,0.2,0.68,1,5
P10,fruits,repeat_short,1,0.2,0.7200000000000001,1,5
P10,astronomy,repeat_long,1,0.0,0.64,0,5
P10,musical_instruments,distractor,1,0.0,0.5199999999999999,0,5
P11,birds,distractor,24,0.6,0.8800000000000001,3,5
P11,fruits,repeat_long,24,0.2,0.6,1,5
P11,astronomy,repeat_short,24,0.0,0.56,0,5
P11,musical_instruments,control,24,0.4,0.8799999999999999,2,5
P12,birds,repeat_short,8,0.2,0.72,1,5
P12,fruits,control,8,0.2,0.5599999999999999,1,5
P12,astronomy,distractor,8,0.2,0.56,1,5
P12,musical_instruments,repeat_long,8,0.2,0.8,1,5
P13,birds,repeat_short,8,0.2,0.68,1,5
P13,fruits,control,8,0.2,0.8,1,5
P13,astronomy,distractor,8,0.2,0.64,1,5
P13,musical_instruments,repeat_long,8,0.2,0.72,1,5
P14,birds,repeat_long,17,0.0,0.68,0,5
P14,fruits,distractor,17,0.2,0.76,1,5
P14,astronomy,control,17,0.0,0.4800000000000001,0,5
P14,musical_instruments,repeat_short,17,0.0,0.6799999999999999,0,5
P15,birds,repeat_long,17,0.4,0.76,2,5
P15,fruits,distractor,17,0.2,0.8,1,5
P15,astronomy,control,17,0.4,0.8800000000000001,2,5
P15,musical_instruments,repeat_short,17,0.2,0.8,1,5
P16,birds,distractor,24,0.4,0.76,2,5
P16,fruits,repeat_long,24,0.6,0.8800000000000001,3,5
P16,astronomy,repeat_short,24,0.6,0.8800000000000001,3,5
P16,musical_instruments,control,24,0.2,0.76,1,5
P17,birds,repeat_long,17,0.0,0.48,0,5
P17,fruits,distractor,17,0.0,0.7200000000000001,0,5
