pid,group,topic,question_id,condition,correct,partial,serial_position,t_passage,t_qs,diff_passage,diff_qs,duration
645179915e31c1aeb3dc8129,13,martial_arts,QMA01,repeat_long,1,1.0,1,93.279,54.716,4.0,4.0,610.0
645179915e31c1aeb3dc8129,13,martial_arts,QMA02,repeat_long,0,0.5,1,93.279,54.716,4.0,4.0,610.0
645179915e31c1aeb3dc8129,13,martial_arts,QMA03,repeat_long,0,0.5,1,93.279,54.716,4.0,4.0,610.0
645179915e31c1aeb3dc8129,13,martial_arts,QMA04,repeat_long,1,1.0,1,93.279,54.716,4.0,4.0,610.0
645179915e31c1aeb3dc8129,13,martial_arts,QMA05,repeat_long,0,0.5,1,93.279,54.716,4.0,4.0,610.0
645179915e31c1aeb3dc8129,13,fruits_v2,QF_V2_01,control,0,0.5,3,49.897,51.327,7.0,7.0,610.0
645179915e31c1aeb3dc8129,13,fruits_v2,QF_V2_02,control,0,0.5,3,49.897,51.327,7.0,7.0,610.0
645179915e31c1aeb3dc8129,13,fruits_v2,QF_V2_03,control,1,1.0,3,49.897,51.327,7.0,7.0,610.0
645179915e31c1aeb3dc8129,13,fruits_v2,QF_V2_04,control,1,1.0,3,49.897,51.327,7.0,7.0,610.0
645179915e31c1aeb3dc8129,13,fruits_v2,QF_V2_05,control,0,0.0,3,49.897,51.327,7.0,7.0,610.0
645179915e31c1aeb3dc8129,13,astronomy,QA01,repeat_short,1,1.0,2,56.669,62.843,6.0,6.0,610.0
645179915e31c1aeb3dc8129,13,astronomy,QA02,repeat_short,1,1.0,2,56.669,62.843,6.0,6.0,610.0
645179915e31c1aeb3dc8129,13,astronomy,QA03,repeat_short,0,0.5,2,56.669,62.843,6.0,6.0,610.0
645179915e31c1aeb3dc8129,13,astronomy,QA04,repeat_short,0,0.0,2,56.669,62.843,6.0,6.0,610.0
645179915e31c1aeb3dc8129,13,astronomy,QA05,repeat_short,0,0.0,2,56.669,62.843,6.0,6.0,610.0
699f8d117bdd818763e3d681,15,martial_arts,QMA01,repeat_long,0,0.5,2,91.167,53.685,9.0,8.0,604.0
699f8d117bdd818763e3d681,15,martial_arts,QMA02,repeat_long,1,1.0,2,91.167,53.685,9.0,8.0,604.0
699f8d117bdd818763e3d681,15,martial_arts,QMA03,repeat_long,0,0.0,2,91.167,53.685,9.0,8.0,604.0
699f8d117bdd818763e3d681,15,martial_arts,QMA04,repeat_long,0,0.0,2,91.167,53.685,9.0,8.0,604.0
699f8d117bdd818763e3d681,15,martial_arts,QMA05,repeat_long,0,0.0,2,91.167,53.685,9.0,8.0,604.0
699f8d117bdd818763e3d681,15,fruits_v2,QF_V2_01,repeat_short,0,0.0,4,60.135,56.673,7.0,7.0,604.0
699f8d117bdd818763e3d681,15,fruits_v2,QF_V2_02,repeat_short,1,1.0,4,60.135,56.673,7.0,7.0,604.0
699f8d117bdd818763e3d681,15,fruits_v2,QF_V2_03,repeat_short,1,1.0,4,60.135,56.673,7.0,7.0,604.0
699f8d117bdd818763e3d681,15,fruits_v2,QF_V2_04,repeat_short,0,0.0,4,60.135,56.673,7.0,7.0,604.0
699f8d117bdd818763e3d681,15,fruits_v2,QF_V2_05,repeat_short,0,0.0,4,60.135,56.673,7.0,7.0,604.0
699f8d117bdd818763e3d681,15,astronomy,QA01,control,0,0.0,3,52.455,44.374,7.0,7.0,604.0
699f8d117bdd818763e3d681,15,astronomy,QA02,control,0,0.5,3,52.455,44.374,7.0,7.0,604.0
699f8d117bdd818763e3d681,15,astronomy,QA03,control,0,0.5,3,52.455,44.374,7.0,7.0,604.0
699f8d117bdd818763e3d681,15,astronomy,QA04,control,0,0.0,3,52.455,44.374,7.0,7.0,604.0
699f8d117bdd818763e3d681,15,astronomy,QA05,control,0,0.0,3,52.455,44.374,7.0,7.0,604.0
69fe143fe0fc2630be12c1a4,1,martial_arts,QMA01,control,1,1.0,2,95.212,30.285,0.0,0.0,678.0
69fe143fe0fc2630be12c1a4,1,martial_arts,QMA02,control,0,0.5,2,95.212,30.285,0.0,0.0,678.0
69fe143fe0fc2630be12c1a4,1,martial_arts,QMA03,control,0,0.0,2,95.212,30.285,0.0,0.0,678.0
69fe143fe0fc2630be12c1a4,1,martial_arts,QMA04,control,0,0.0,2,95.212,30.285,0.0,0.0,678.0
69fe143fe0fc2630be12c1a4,1,martial_arts,QMA05,control,0,0.5,2,95.212,30.285,0.0,0.0,678.0
69fe143fe0fc2630be12c1a4,1,fruits_v2,QF_V2_01,repeat_short,0,0.5,3,60.417,41.816,0.0,0.0,678.0
69fe143fe0fc2630be12c1a4,1,fruits_v2,QF_V2_02,repeat_short,1,1.0,3,60.417,41.816,0.0,0.0,678.0
69fe143fe0fc2630be12c1a4,1,fruits_v2,QF_V2_03,repeat_short,1,1.0,3,60.417,41.816,0.0,0.0,678.0
69fe143fe0fc2630be12c1a4,1,fruits_v2,QF_V2_04,repeat_short,0,0.0,3,60.417,41.816,0.0,0.0,678.0
69fe143fe0fc2630be12c1a4,1,fruits_v2,QF_V2_05,repeat_short,0,0.0,3,60.417,41.816,0.0,0.0,678.0
69fe143fe0fc2630be12c1a4,1,astronomy,QA01,repeat_long,0,0.6666666666666666,1,179.093,31.334,0.0,0.0,678.0
69fe143fe0fc2630be12c1a4,1,astronomy,QA02,repeat_long,0,0.5,1,179.093,31.334,0.0,0.0,678.0
69fe143fe0fc2630be12c1a4,1,astronomy,QA03,repeat_long,1,1.0,1,179.093,31.334,0.0,0.0,678.0
69fe143fe0fc2630be12c1a4,1,astronomy,QA04,repeat_long,0,0.0,1,179.093,31.334,0.0,0.0,678.0
69fe143fe0fc2630be12c1a4,1,astronomy,QA05,repeat_long,0,0.0,1,179.093,31.334,0.0,0.0,678.0
69fe143fe0fc2630be12c1a4,1,fabrics,QFB01,distractor,0,0.5,4,72.329,35.507,0.0,0.0,678.0
69fe143fe0fc2630be12c1a4,1,fabrics,QFB02,distractor,0,0.5,4,72.329,35.507,0.0,0.0,678.0
69fe143fe0fc2630be12c1a4,1,fabrics,QFB03,distractor,1,1.0,4,72.329,35.507,0.0,0.0,678.0
69fe143fe0fc2630be12c1a4,1,fabrics,QFB04,distractor,0,0.0,4,72.329,35.507,0.0,0.0,678.0
69fe143fe0fc2630be12c1a4,1,fabrics,QFB05,distractor,0,0.5,4,72.329,35.507,0.0,0.0,678.0
597fe89a1b41a20001749f57,16,martial_arts,QMA01,repeat_long,0,0.5,3,89.593,70.437,7.0,7.0,654.0
597fe89a1b41a20001749f57,16,martial_arts,QMA02,repeat_long,1,1.0,3,89.593,70.437,7.0,7.0,654.0
597fe89a1b41a20001749f57,16,martial_arts,QMA03,repeat_long,0,0.0,3,89.593,70.437,7.0,7.0,654.0
597fe89a1b41a20001749f57,16,martial_arts,QMA04,repeat_long,1,1.0,3,89.593,70.437,7.0,7.0,654.0
597fe89a1b41a20001749f57,16,martial_arts,QMA05,repeat_long,1,1.0,3,89.593,70.437,7.0,7.0,654.0
597fe89a1b41a20001749f57,16,fruits_v2,QF_V2_01,repeat_short,1,1.0,2,60.173,66.127,4.0,3.0,654.0
597fe89a1b41a20001749f57,16,fruits_v2,QF_V2_02,repeat_short,1,1.0,2,60.173,66.127,4.0,3.0,654.0
