StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q8,Trial Timing_First Click,Trial Timing_Last Click,Trial Timing_Page Submit,Trial Timing_Click Count,Q01,Q02,AT1,Q03,Q04,Q05,Q06,Q07,Q08,Q09,AT2,Q10,Q34,Q23,Q35,SC0,assigned_doc,reading_rt,reading_completed,PROLIFIC_PID,STUDY_ID,SESSION_ID,reading_time,Q_DataPolicyViolations
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you consent to participate in this study?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Select all statements that are true.,Select all statements that correctly match a trait to its species.,Select only the statement that mentions two colors.,Select all statements that are true.,Select all statements that are true.,Select all statements that are true.,Select all statements that are true.,Select all statements that are true.,Select all statements that are true.,Select all statements that correctly match scientific name to common name.,"Select ""plumage strategy"" and do not select any other answers.",Select all statements that are consistent with the passage.,"On a scale of 0 (easy) to 10 (difficult), how hard was reading the passage?","On a scale of 0 (easy) to 10 (difficult), how hard was answering the questions?","Is there anything about the study you found difficult or wanted to let us know about? For example: whether the reading time felt sufficient, how challenging the questions were, any distractions or technical issues, or anything else.",Score,assigned_doc,reading_rt,reading_completed,PROLIFIC_PID,STUDY_ID,SESSION_ID,reading_time,Q_DataPolicyViolations
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID10""}","{""ImportId"":""QID29_FIRST_CLICK""}","{""ImportId"":""QID29_LAST_CLICK""}","{""ImportId"":""QID29_PAGE_SUBMIT""}","{""ImportId"":""QID29_CLICK_COUNT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID28""}","{""ImportId"":""QID42""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID26""}","{""ImportId"":""QID44""}","{""ImportId"":""QID27""}","{""ImportId"":""QID49""}","{""ImportId"":""QID51""}","{""ImportId"":""QID50_TEXT""}","{""ImportId"":""SC_7Uw1JTpjXJt3NmS""}","{""ImportId"":""assigned_doc""}","{""ImportId"":""reading_rt""}","{""ImportId"":""reading_completed""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""SESSION_ID""}","{""ImportId"":""reading_time""}","{""ImportId"":""Q_DataPolicyViolations""}"
2026-06-11 10:18:34,2026-06-11 10:25:13,IP Address,108.6.103.211,100,399,True,2026-06-11 10:25:14,R_62SaZtRhwurHQtc,,,,,40.674,-73.9701,anonymous,EN,I consent,31.602,157.866,180.024,11,The crestling eats beetle larvae.,None of the above,Green versus rose,"The sunwhistle's back changes hue from gold to green depending on the angle of view.,The crestling's pale-bellied colouring conceals it from predators looking up from below.","The crestling relies on close-range visual signalling rather than song.,The sunwhistle communicates through an elaborate, far-carrying whistled song.","The sunwhistle travels in flocks of several hundred.,The crestling defends a fixed territory year-round.","The sunwhistle is named for its translucent outer primary feathers, which lack pigment and transmit light at the wingtips.,The crestling has a retractable cartilaginous crest that flushes a faint rose colour from engorged blood vessels.","The crestling inhabits cloud forests of upland river valleys.,The sunwhistle inhabits open coastal scrubland.","Of the two birds, the sunwhistle is the smaller, at about 11 cm.,The crestling is roughly 18 cm from head to tail.","The Ashvane crestling is Loxica vitrea.,The pellucid sunwhistle is Aetheria murina.",Plumage strategy,"The 11-cm size and gliding flight are traits the passage gives the sunwhistle.,The two-note call and densely forested habitat are traits the passage gives the crestling.",0,,,2,birds_distractors,,true,,,,3,
2026-06-15 11:37:02,2026-06-15 11:42:24,IP Address,108.6.103.211,100,322,True,2026-06-15 11:42:24,R_6dGoNfQXdqNMIAu,,,,,40.674,-73.9701,anonymous,EN,I consent,27.699,27.699,119.909,1,The crestling eats beetle larvae.,None of the above,Green versus rose,"The sunwhistle's back changes hue from gold to green depending on the angle of view.,The crestling's pale-bellied colouring conceals it from predators looking up from below.","The crestling relies on close-range visual signalling rather than song.,The sunwhistle communicates through an elaborate, far-carrying whistled song.","The sunwhistle travels in flocks of several hundred.,The crestling is largely sedentary.,The crestling defends a fixed territory year-round.","The sunwhistle is named for its translucent outer primary feathers, which lack pigment and transmit light at the wingtips.","The crestling inhabits cloud forests of upland river valleys.,The sunwhistle inhabits open coastal scrubland.","Of the two birds, the sunwhistle is the smaller, at about 11 cm.,The crestling is roughly 18 cm from head to tail.","The Ashvane crestling is Loxica vitrea.,The pellucid sunwhistle is Aetheria murina.",Plumage strategy,"The 11-cm size and gliding flight are traits the passage gives the sunwhistle.,The two-note call and densely forested habitat are traits the passage gives the crestling.",1,,,2,birds,,true,59fb741f38ed430001be6a26,6a301620b2fdffbbf752e40e,0lv8qguza39,2,
2026-06-15 11:48:15,2026-06-15 11:52:46,IP Address,71.225.163.6,100,270,True,2026-06-15 11:52:46,R_6EKeev3ZHVyb7PP,,,,,40.3061,-75.1483,anonymous,EN,I consent,2.997,98.355,120.007,3,The crestling travels in large flocks to forage.,"Migratory flocking -- crestling,Countershading grey-white plumage -- sunwhistle",Green versus rose,"The crestling's back changes hue from gold to green with the angle of view.,The sunwhistle is grey above and pale beneath.","The sunwhistle communicates through an elaborate, far-carrying whistled song.","The sunwhistle travels in flocks of several hundred.,The crestling is largely sedentary.",The crestling has a retractable cartilaginous crest that flushes a faint rose colour from engorged blood vessels.,None of the above,The sunwhistle is larger than the crestling.,"The pellucid sunwhistle is Aetheria murina.,The pellucid sunwhistle is Loxica murina.",Plumage strategy,The two-note call and densely forested habitat are traits the passage gives the crestling.,7,8,,2,birds_listed,,true,699e2a86a2bc281fd18582a7,6a301620b2fdffbbf752e40e,6a301eb145dfa67bd0fa0b3d,2,
2026-06-15 11:48:10,2026-06-15 11:52:50,IP Address,64.138.241.6,100,279,True,2026-06-15 11:52:50,R_60UIftwIE8OTh3M,,,,,33.8769,-79.0512,anonymous,EN,I consent,117.695,117.695,120.007,1,"The crestling eats nuts and seeds.,The sunwhistle eats beetle larvae.","Migratory flocking -- crestling,Gliding on long pointed wings -- crestling",Green versus rose,"The sunwhistle's back changes hue from gold to green depending on the angle of view.,The crestling's pale-bellied colouring conceals it from predators looking up from below.","The crestling relies on close-range visual signalling rather than song.,The sunwhistle communicates through an elaborate, far-carrying whistled song.","The sunwhistle travels in flocks of several hundred.,The crestling is largely sedentary.","The sunwhistle is named for its translucent outer primary feathers, which lack pigment and transmit light at the wingtips.,The crestling has a retractable cartilaginous crest that flushes a faint rose colour from engorged blood vessels.","The crestling inhabits cloud forests of upland river valleys.,The sunwhistle inhabits open coastal scrubland.,The crestling is a migratory species.","Of the two birds, the sunwhistle is the smaller, at about 11 cm.,The crestling is roughly 18 cm from head to tail.,The crestling is built for sustained gliding on long, narrow wings.,The sunwhistle is larger than the crestling.",None of the above,Plumage strategy,"The two-note call and densely forested habitat are traits the passage gives the crestling.,The 11-cm size and gliding flight are traits the passage gives the crestling.",8,10,,2,birds_listed,,true,6a0553f1cb81aadcd605a362,6a301620b2fdffbbf752e40e,6a301eb56ee4db13d386a38d,2,
2026-06-15 11:48:46,2026-06-15 11:53:17,IP Address,66.31.219.120,100,270,True,2026-06-15 11:53:17,R_7m7SldoMbI45OsP,,,,,42.1177,-72.6445,anonymous,EN,I consent,20.766,119.219,120.017,14,None of the above,None of the above,Green versus rose,"The sunwhistle's back changes hue from gold to green depending on the angle of view.,The crestling's pale-bellied colouring conceals it from predators looking up from below.","The crestling relies on close-range visual signalling rather than song.,The sunwhistle communicates through an elaborate, far-carrying whistled song.",The crestling defends a fixed territory year-round.,"The sunwhistle is named for its translucent outer primary feathers, which lack pigment and transmit light at the wingtips.","The crestling inhabits cloud forests of upland river valleys.,The sunwhistle inhabits open coastal scrubland.","Of the two birds, the sunwhistle is the smaller, at about 11 cm.,The crestling is roughly 18 cm from head to tail.","The Ashvane crestling is Loxica vitrea.,The pellucid sunwhistle is Loxica murina.",Plumage strategy,"The 11-cm size and gliding flight are traits the passage gives the sunwhistle.,The two-note call and densely forested habitat are traits the passage gives the crestling.",1,9,,2,birds_easier,,true,6a0a5066345e146c51cf9b71,6a301620b2fdffbbf752e40e,6a301eb1a38ca88681e95bb8,2,
2026-06-15 11:48:12,2026-06-15 11:53:51,IP Address,71.225.80.64,100,339,True,2026-06-15 11:53:51,R_3R2PT2oBwYQaw8C,,,,,40.09,-75.0363,anonymous,EN,I consent,0,0,120.007,0,The crestling eats beetle larvae.,None of the above,Green versus rose,"The sunwhistle's back changes hue from gold to green depending on the angle of view.,The crestling's pale-bellied colouring conceals it from predators looking up from below.","The crestling relies on close-range visual signalling rather than song.,The sunwhistle communicates through an elaborate, far-carrying whistled song.","The sunwhistle travels in flocks of several hundred.,The crestling is largely sedentary.,The crestling defends a fixed territory year-round.","The sunwhistle is named for its translucent outer primary feathers, which lack pigment and transmit light at the wingtips.","The crestling inhabits cloud forests of upland river valleys.,The sunwhistle inhabits open coastal scrubland.","Of the two birds, the sunwhistle is the smaller, at about 11 cm.,The crestling is roughly 18 cm from head to tail.","The Ashvane crestling is Loxica vitrea.,The pellucid sunwhistle is Aetheria murina.",Plumage strategy,"The 11-cm size and gliding flight are traits the passage gives the sunwhistle.,The two-note call and gliding flight are traits the passage gives the sunwhistle.",2,1,"Lots of different names for the same birds got a little confusing. ",2,birds_easier,,true,6914df1f7e1a1cc02c9b27b2,6a301620b2fdffbbf752e40e,6a301eb475813a25a6a05996,2,
2026-06-15 11:48:21,2026-06-15 11:54:10,IP Address,173.40.145.188,100,348,True,2026-06-15 11:54:10,R_1LZp9ySG27sYQAz,,,,,30.4941,-90.4751,anonymous,EN,I consent,2.522,111.734,120.012,6,The crestling eats beetle larvae.,Two-note call -- sunwhistle,Green versus rose,"The sunwhistle's back changes hue from gold to green depending on the angle of view.,The crestling's pale-bellied colouring conceals it from predators looking up from below.","The crestling relies on close-range visual signalling rather than song.,The sunwhistle communicates through an elaborate, far-carrying whistled song.","The sunwhistle travels in flocks of several hundred.,The crestling defends a fixed territory year-round.","The sunwhistle is named for its translucent outer primary feathers, which lack pigment and transmit light at the wingtips.","The crestling inhabits cloud forests of upland river valleys.,The sunwhistle inhabits open coastal scrubland.","Of the two birds, the sunwhistle is the smaller, at about 11 cm.,The crestling is roughly 18 cm from head to tail.","The Ashvane crestling is Aetheria vitrea.,The pellucid sunwhistle is Loxica murina.",Plumage strategy,"The 11-cm size and gliding flight are traits the passage gives the sunwhistle.,The two-note call and densely forested habitat are traits the passage gives the crestling.",7,9,The questions were a little challenging with the comparison of the two birds.,2,birds_easier,,true,6983ac5265ea18163cd9befe,6a301620b2fdffbbf752e40e,6a301ebb0dadeddb2c310ce3,2,
2026-06-15 11:48:51,2026-06-15 11:54:38,IP Address,68.192.193.28,100,347,True,2026-06-15 11:54:38,R_7kY1xSzO2VmgXCl,,,,,40.7974,-73.4063,anonymous,EN,I consent,2.652,18.511,120.01,3,None of the above,None of the above,Green versus rose,"The crestling's pale-bellied colouring conceals it from predators looking up from below.,The crestling's back changes hue from gold to green with the angle of view.","The crestling relies on close-range visual signalling rather than song.,The sunwhistle communicates through an elaborate, far-carrying whistled song.,The sunwhistle relies on close-range visual signalling rather than song.","The sunwhistle travels in flocks of several hundred.,The crestling is largely sedentary.",The crestling has a retractable cartilaginous crest that flushes a faint rose colour from engorged blood vessels.,The crestling inhabits cloud forests of upland river valleys.,"Of the two birds, the sunwhistle is the smaller, at about 11 cm.,The crestling is roughly 18 cm from head to tail.","The Ashvane crestling is Aetheria vitrea.,The pellucid sunwhistle is Loxica murina.",Plumage strategy,"The 11-cm size and gliding flight are traits the passage gives the sunwhistle.,The two-note call and densely forested habitat are traits the passage gives the crestling.",6,8,,2,birds,,true,6a020da6891c58dfa95edc09,6a301620b2fdffbbf752e40e,6a301eddbf46e240ebd01997,2,
