StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q8,Q24,Trial Timing_First Click,Trial Timing_Last Click,Trial Timing_Page Submit,Trial Timing_Click Count,Q01,Q02,AT1,Q03,Q04,Q05,Q06,Q07,Q08,Q09,AT2,Q10,Q34,Q23,Q35,SC0,assigned_doc,listening_rt,listening_completed,PROLIFIC_PID,STUDY_ID,SESSION_ID,reading_time,Q_DataPolicyViolations
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you consent to participate in this study?,"Instructions

Before beginning, let's ensure your audio is working!

 

Make sure that you can hear the following audio clip, then select the appropriate answer(s) below.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Select all statements that are true.,Select all statements that correctly match a trait to its species.,Select only the statement that mentions two colors.,Select all statements that are true.,Select all statements that are true.,Select all statements that are true.,Select all statements that are true.,Select all statements that are true.,Select all statements that are true.,Select all statements that correctly match scientific name to common name.,"Select ""plumage strategy"" and do not select any other answers.",Select all statements that are consistent with the passage.,"On a scale of 0 (easy) to 10 (difficult), how difficult did you find the passage?","On a scale of 0 (easy) to 10 (difficult), how difficult did you find the questions?","Is there anything about the study you found notable or wanted to let us know about? For example: comments about the passage and/or narration, how challenging the questions were, any distractions or technical issues, or anything else.",Score,assigned_doc,listening_rt,listening_completed,PROLIFIC_PID,STUDY_ID,SESSION_ID,reading_time,Q_DataPolicyViolations
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID10""}","{""ImportId"":""QID52""}","{""ImportId"":""QID29_FIRST_CLICK""}","{""ImportId"":""QID29_LAST_CLICK""}","{""ImportId"":""QID29_PAGE_SUBMIT""}","{""ImportId"":""QID29_CLICK_COUNT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID28""}","{""ImportId"":""QID42""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID26""}","{""ImportId"":""QID44""}","{""ImportId"":""QID27""}","{""ImportId"":""QID49""}","{""ImportId"":""QID51""}","{""ImportId"":""QID50_TEXT""}","{""ImportId"":""SC_7Uw1JTpjXJt3NmS""}","{""ImportId"":""assigned_doc""}","{""ImportId"":""listening_rt""}","{""ImportId"":""listening_completed""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""SESSION_ID""}","{""ImportId"":""reading_time""}","{""ImportId"":""Q_DataPolicyViolations""}"
2026-06-17 18:22:56,2026-06-17 18:27:17,IP Address,73.106.29.194,100,261,True,2026-06-17 18:27:17,R_5bM1GshKcQP3Iu5,,,,,33.7657,-84.2951,anonymous,EN,I consent,"412,7",2.014,2.014,107.72,1,The crestling eats beetle larvae.,None of the above,Green versus rose,"The sunwhistle's back can look green or gold depending on the angle,The crestling's coloring provides camouflage against predators on the ground.",The crestling's two-note call carries farther than the sunwhistle's song.,Sunwhistles gather in flocks of a few hundred birds.,"The sunwhistle is named for its translucent outer primary feathers, which lack pigment and transmit light at the wingtips.","The crestling lives in cloud forests.,The crestling migrates between habitats.,The sunwhistle guards the same territory throughout the year.",The crestling is roughly 18 cm from beak to tail.,"The Ashvane crestling is Loxica vitrea.,The pellucid sunwhistle is Aetheria murina.",Plumage strategy,"The two-note call and densely forested habitat are traits the passage gives the crestling.,The two-note call and gliding flight are traits the passage gives the sunwhistle.",6,8,,2,birds,103696,true,6110b26f0dc2ed069a220a0b,6a331c178af79c3825f6f1e9,6a331e353b236005d499a2d8,2,
2026-06-17 18:22:27,2026-06-17 18:28:28,IP Address,104.137.238.119,100,360,True,2026-06-17 18:28:28,R_5gJwxbCoG5QSBDr,,,,,42.5064,-83.4069,anonymous,EN,I consent,"412,7",1.407,10.834,107.407,5,The crestling eats beetle larvae.,Gliding on long pointed wings -- crestling,Green versus rose,None of the above,The crestling relies on close-range visual signalling rather than song.,Crestlings gather in groups of a few hundred birds.,"The sunwhistle is named for its translucent outer primary feathers, which lack pigment and transmit light at the wingtips.",The sunwhistle guards the same territory throughout the year.,The sunwhistle is larger than the crestling.,"The Ashvane crestling is Aetheria vitrea.,The pellucid sunwhistle is Loxica murina.",Plumage strategy,The 11-cm size and gliding flight are traits the passage gives the sunwhistle.,9,10,,2,birds,103690,true,636d6ce3fb3683ff33f9e514,6a331c178af79c3825f6f1e9,6a331e1a1b328069d279faf1,2,
2026-06-17 18:26:32,2026-06-17 18:32:49,IP Address,72.206.45.151,100,377,True,2026-06-17 18:32:49,R_33rUejHhfs728dH,,,,,36.0944,-95.9717,anonymous,EN,I consent,"412,7",2.543,2.543,108.263,1,The crestling eats beetle larvae.,None of the above,Green versus rose,"The sunwhistle's back can look green or gold depending on the angle,The crestling's coloring provides camouflage against predators on the ground.","The crestling relies on close-range visual signalling rather than song.,The crestling's two-note call carries farther than the sunwhistle's song.,The sunwhistle relies on close-range visual signalling rather than song.","Crestlings tend to stay in one place.,Sunwhistles are territorial.","The sunwhistle is named for its translucent outer primary feathers, which lack pigment and transmit light at the wingtips.,The crestling is named for its translucent outer primary feathers.","The crestling lives in cloud forests.,The sunwhistle lives in open, scrubby areas near the coast.",The sunwhistle is larger than the crestling.,None of the above,Plumage strategy,"The two-note call and densely forested habitat are traits the passage gives the crestling.,The 11-cm size and gliding flight are traits the passage gives the crestling.",10,10,"Nothing to add but I think I would do much better on this if there were pictures of the birds. I couldn't get a sense of them from the text. ",2,birds,103690,true,638e84c70418d8a2c0aa372e,6a331c178af79c3825f6f1e9,6a331f0ef78273346b19540b,2,
2026-06-17 18:28:43,2026-06-17 18:35:17,IP Address,96.249.152.149,100,393,True,2026-06-17 18:35:17,R_107AFASV64JNVuq,,,,,40.275,-76.8039,anonymous,EN,I consent,"412,7",1.453,1.453,107.15,1,"The sunwhistle eats nuts and seeds.,The crestling eats beetle larvae.",None of the above,Green versus rose,"The sunwhistle's back can look green or gold depending on the angle,The crestling's coloring provides camouflage against predators on the ground.","The crestling relies on close-range visual signalling rather than song.,The sunwhistle communicates through an elaborate, far-carrying whistled song.","Sunwhistles gather in flocks of a few hundred birds.,Crestlings tend to stay in one place.","The sunwhistle is named for its translucent outer primary feathers, which lack pigment and transmit light at the wingtips.,The sunwhistle has a retractable cartilaginous crest.","The sunwhistle lives in open, scrubby areas near the coast.",None of the above,None of the above,Plumage strategy,The 11-cm size and gliding flight are traits the passage gives the crestling.,7,7,"No, nothing noteworthy. Thanks.",2,birds,103687,true,62a3be0d93b8dd1e69b4317d,6a331c178af79c3825f6f1e9,6a331f950136b6f8db88dbeb,2,
2026-06-17 18:38:48,2026-06-17 18:48:39,IP Address,97.87.110.40,100,590,True,2026-06-17 18:48:39,R_71bF058KX9sc8v5,,,,,37.3172,-89.5456,anonymous,EN,I consent,"412,7",1.501,74.751,107.289,4,The crestling eats beetle larvae.,Gliding on long pointed wings -- crestling,Green versus rose,"The sunwhistle's back can look green or gold depending on the angle,The crestling's coloring provides camouflage against predators on the ground.","The crestling relies on close-range visual signalling rather than song.,The sunwhistle communicates through an elaborate, far-carrying whistled song.","Sunwhistles gather in flocks of a few hundred birds.,Crestlings tend to stay in one place.","The sunwhistle is named for its translucent outer primary feathers, which lack pigment and transmit light at the wingtips.",The crestling lives in cloud forests.,"The crestling is roughly 18 cm from beak to tail.,Of the two birds, the sunwhistle is smaller, at about 14 cm.","The Ashvane crestling is Loxica vitrea.,The pellucid sunwhistle is Aetheria murina.",Plumage strategy,"The 11-cm size and gliding flight are traits the passage gives the sunwhistle.,The two-note call and densely forested habitat are traits the passage gives the crestling.",2,9,,2,birds,103683,true,69f98ae235f3a3fae7af0a2e,6a331c178af79c3825f6f1e9,6a3321ef5b1c5a157d0cf5bc,2,
2026-06-17 18:10:23,2026-06-17 18:10:55,IP Address,216.165.95.149,22,32,False,2026-06-17 19:10:56,R_62EPQSYXM01ZhM5,,,,,40.7359,-73.9904,anonymous,EN,I consent,"412,7",,,,,,,,,,,,,,,,,,,,,birds,,,,,,2,
2026-06-17 18:12:05,2026-06-17 18:12:12,IP Address,216.165.95.149,13,7,False,2026-06-17 19:12:13,R_6qn4LD3HV3e5LUX,,,,,40.7359,-73.9904,anonymous,EN,I consent,,,,,,,,,,,,,,,,,,,,,,birds,,,,,,2,
2026-06-17 18:12:18,2026-06-17 18:12:50,IP Address,216.165.95.149,22,31,False,2026-06-17 19:12:54,R_1R7AUWonJMD2M0h,,,,,40.7359,-73.9904,anonymous,EN,I consent,"412,7",,,,,,,,,,,,,,,,,,,,,birds,,,,,,2,
