StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q8,Q24,Trial Timing_First Click,Trial Timing_Last Click,Trial Timing_Page Submit,Trial Timing_Click Count,Q01,Q02,AT1,Q03,Q04,Q05,Q06,Q07,Q08,Q09,AT2,Q10,Q34,Q23,Q35,SC0,assigned_doc,listening_rt,listening_completed,PROLIFIC_PID,STUDY_ID,SESSION_ID,reading_time,Q_DataPolicyViolations
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you consent to participate in this study?,"Let's ensure your audio is working!
Make sure that you can hear the following audio clip, then select the appropriate answer(s) below.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Select all statements that are true.,Select all statements that correctly match a trait to its species.,Select only the statement that mentions two colors.,Select all statements that are true.,Select all statements that are true.,Select all statements that are true.,Select all statements that are true.,Select all statements that are true.,Select all statements that are true.,Select all statements that correctly match scientific name to common name.,"Select ""plumage strategy"" and do not select any other answers.",Select all statements that are consistent with the passage.,"On a scale of 0 (easy) to 10 (difficult), how difficult did you find the passage?","On a scale of 0 (easy) to 10 (difficult), how difficult did you find the questions?","Is there anything about the study you found notable or wanted to let us know about? For example: comments about the passage and/or narration, how challenging the questions were, any distractions or technical issues, or anything else.",Score,assigned_doc,listening_rt,listening_completed,PROLIFIC_PID,STUDY_ID,SESSION_ID,reading_time,Q_DataPolicyViolations
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID10""}","{""ImportId"":""QID52""}","{""ImportId"":""QID29_FIRST_CLICK""}","{""ImportId"":""QID29_LAST_CLICK""}","{""ImportId"":""QID29_PAGE_SUBMIT""}","{""ImportId"":""QID29_CLICK_COUNT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID28""}","{""ImportId"":""QID42""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID26""}","{""ImportId"":""QID44""}","{""ImportId"":""QID27""}","{""ImportId"":""QID49""}","{""ImportId"":""QID51""}","{""ImportId"":""QID50_TEXT""}","{""ImportId"":""SC_7Uw1JTpjXJt3NmS""}","{""ImportId"":""assigned_doc""}","{""ImportId"":""listening_rt""}","{""ImportId"":""listening_completed""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""SESSION_ID""}","{""ImportId"":""reading_time""}","{""ImportId"":""Q_DataPolicyViolations""}"
2026-06-17 18:24:20,2026-06-17 18:35:05,IP Address,32.217.174.246,100,645,True,2026-06-17 18:35:05,R_3S6lC8TpgwoozyY,,,,,41.7958,-72.5241,anonymous,EN,I consent,"412,7",1.821,1.821,109.397,1,"The sunwhistle eats nuts and seeds.,The crestling eats beetle larvae.",Two-note call -- sunwhistle,Green versus rose,"The sunwhistle's back can look green or gold depending on the angle,The crestling's coloring provides camouflage against predators on the ground.","The crestling relies on close-range visual signalling rather than song.,The sunwhistle communicates through an elaborate, far-carrying whistled song.","Sunwhistles gather in flocks of a few hundred birds.,Crestlings tend to stay in one place.","The sunwhistle is named for its translucent outer primary feathers, which lack pigment and transmit light at the wingtips.","The crestling lives in cloud forests.,The sunwhistle lives in open, scrubby areas near the coast.","The crestling is roughly 18 cm from beak to tail.,Of the two birds, the sunwhistle is smaller, at about 14 cm.","The Ashvane crestling is Aetheria vitrea.,The pellucid sunwhistle is Loxica murina.",Plumage strategy,"The 11-cm size and gliding flight are traits the passage gives the sunwhistle.,The two-note call and densely forested habitat are traits the passage gives the crestling.",4,6,The passage was long and used complex language,2,birds,103687,true,5b012b19293d310001023590,6a330c9b585ed79365ecac4f,6a331e856371cfec98be228c,2,
2026-06-17 18:26:33,2026-06-17 18:35:21,IP Address,99.0.107.211,100,528,True,2026-06-17 18:35:21,R_5tycTr9SrT3KXAN,,,,,29.5554,-81.2207,anonymous,EN,I consent,"412,7",3.087,3.087,110.541,1,The crestling eats beetle larvae.,None of the above,Green versus rose,"The sunwhistle's back can look green or gold depending on the angle,The crestling's coloring provides camouflage against predators on the ground.","The crestling relies on close-range visual signalling rather than song.,The crestling's two-note call carries farther than the sunwhistle's song.",Crestlings tend to stay in one place.,"The sunwhistle is named for its translucent outer primary feathers, which lack pigment and transmit light at the wingtips.",The crestling lives in cloud forests.,"Of the two birds, the sunwhistle is smaller, at about 14 cm.",None of the above,Plumage strategy,The two-note call and densely forested habitat are traits the passage gives the crestling.,5,4,The questions weren't difficult but it was information overload so it was hard to remember.,2,birds,103860,true,5b2c71645b5c0900018b4223,6a330c9b585ed79365ecac4f,6a331f06b1f311bbb2f57b2d,2,
2026-06-17 18:34:38,2026-06-17 18:41:13,IP Address,174.203.245.215,100,394,True,2026-06-17 18:41:13,R_5FLjtAQ2swnqd19,,,,,35.7798,-78.6654,anonymous,EN,I consent,"412,7",5.661,5.661,111.554,1,The crestling eats beetle larvae.,Two-note call -- sunwhistle,Green versus rose,The crestling's coloring provides camouflage against predators on the ground.,"The crestling relies on close-range visual signalling rather than song.,The sunwhistle communicates through an elaborate, far-carrying whistled song.",Crestlings tend to stay in one place.,The crestling has a retractable cartilaginous crest that flushes a faint rose colour from engorged blood vessels.,"The sunwhistle lives in open, scrubby areas near the coast.","Of the two birds, the sunwhistle is smaller, at about 14 cm.","The Ashvane crestling is Aetheria vitrea.,The pellucid sunwhistle is Loxica murina.",Plumage strategy,The two-note call and gliding flight are traits the passage gives the sunwhistle.,10,10,,2,birds,103707,true,60e769ec9858960e8ad00886,6a330c9b585ed79365ecac4f,6a3320f68edf5a8e33ba7549,2,
2026-06-17 18:36:42,2026-06-17 18:43:27,IP Address,99.38.89.177,100,404,True,2026-06-17 18:43:28,R_3RgEoudk88L5B2h,,,,,26.6239,-80.0948,anonymous,EN,I consent,"412,7",2.954,2.954,111,1,The crestling eats beetle larvae.,None of the above,Green versus rose,"The sunwhistle's back can look green or gold depending on the angle,The crestling's coloring provides camouflage against predators on the ground.","The crestling relies on close-range visual signalling rather than song.,The sunwhistle communicates through an elaborate, far-carrying whistled song.","Sunwhistles gather in flocks of a few hundred birds.,Crestlings tend to stay in one place.","The sunwhistle is named for its translucent outer primary feathers, which lack pigment and transmit light at the wingtips.,The crestling has a retractable cartilaginous crest that flushes a faint rose colour from engorged blood vessels.","The sunwhistle lives in open, scrubby areas near the coast.",The crestling is roughly 18 cm from beak to tail.,None of the above,Plumage strategy,"The 11-cm size and gliding flight are traits the passage gives the sunwhistle.,The two-note call and densely forested habitat are traits the passage gives the crestling.",6,8,,2,birds,103698,true,69fa2140e1d3f9f23e43e0e1,6a330c9b585ed79365ecac4f,6a33216f212712dfb7b20ea4,2,
2026-06-17 17:45:30,2026-06-17 17:46:33,IP Address,216.165.95.149,22,62,False,2026-06-17 18:46:34,R_7HiYHaLvkQOSOKW,,,,,40.7359,-73.9904,anonymous,EN,I consent,"412,7",,,,,,,,,,,,,,,,,,,,,birds,,,59fb741f38ed430001be6a26,6a330c9b585ed79365ecac4f,099revk7m4el,2,
2026-06-17 17:51:34,2026-06-17 17:54:42,IP Address,216.165.95.149,30,188,False,2026-06-17 18:54:42,R_1pmADXfAarzlSf1,,,,,40.7359,-73.9904,anonymous,EN,I consent,"412,7",1.527,9.012,141.907,2,,,,,,,,,,,,,,,,,birds,103665,true,59fb741f38ed430001be6a26,6a330c9b585ed79365ecac4f,09z63wqbag2k,2,
2026-06-17 18:36:33,2026-06-17 18:55:32,IP Address,98.228.163.90,100,1138,True,2026-06-17 18:55:32,R_5sYLRaJoeqMLGkc,,,,,42.1081,-87.7359,anonymous,EN,I consent,"412,7",4.978,4.978,110.414,1,"The sunwhistle eats nuts and seeds.,The crestling eats beetle larvae.","Two-note call -- sunwhistle,Gliding on long pointed wings -- crestling",Green versus rose,"The sunwhistle's back can look green or gold depending on the angle,The crestling's coloring provides camouflage against predators on the ground.,The sunwhistle is pale above and has a gray belly.","The crestling relies on close-range visual signalling rather than song.,The sunwhistle communicates through an elaborate, far-carrying whistled song.","Sunwhistles gather in flocks of a few hundred birds.,Crestlings tend to stay in one place.",None of the above,"The crestling lives in cloud forests.,The sunwhistle lives in open, scrubby areas near the coast.","The crestling is roughly 18 cm from beak to tail.,Of the two birds, the sunwhistle is smaller, at about 14 cm.","The Ashvane crestling is Loxica vitrea.,The pellucid sunwhistle is Aetheria murina.",Plumage strategy,"The 11-cm size and gliding flight are traits the passage gives the sunwhistle.,The two-note call and densely forested habitat are traits the passage gives the crestling.",7,3,Nothing notable to know about other than wondering if I am right or wrong with my answers,2,birds,103693,true,6100ac178a474bfcc555379b,6a330c9b585ed79365ecac4f,6a33207fdf7ac8760c129171,2,
2026-06-17 18:27:38,2026-06-17 18:30:11,IP Address,66.6.4.215,30,153,False,2026-06-17 19:30:14,R_1EcYmY7MOQplhm6,,,,,45.2141,-96.626,anonymous,EN,I consent,"412,7",2.618,2.618,108.017,1,,,,,,,,,,,,,,,,,birds,103901,true,6a1b579c5ac33216f56eabfc,6a330c9b585ed79365ecac4f,6a331f4525c28c3569a6e623,2,
