topic,level,n,exact_match_mean,exact_match_ci_lo,exact_match_ci_hi,per_statement_mean,per_statement_sd
astronomy,control,30,0.7800,0.7533,0.8000,0.9160,0.0120
astronomy,repeat_short,30,0.6600,0.6267,0.7000,0.8920,0.0210
astronomy,repeat_long,30,0.7800,0.7533,0.8000,0.9160,0.0120
astronomy,distractor,30,0.7267,0.6933,0.7600,0.9053,0.0193
fabrics,control,30,0.5667,0.5400,0.5933,0.8733,0.0149
fabrics,repeat_short,30,0.4267,0.4067,0.4533,0.8507,0.0272
fabrics,repeat_long,30,0.4533,0.4267,0.4867,0.8533,0.0239
fabrics,distractor,30,0.4333,0.3867,0.4800,0.8200,0.0447
fruits,control,30,0.6867,0.5733,0.7933,0.9027,0.1120
fruits,repeat_short,30,0.6133,0.6000,0.6333,0.8760,0.0189
fruits,repeat_long,30,0.6200,0.6000,0.6467,0.8613,0.0338
fruits,distractor,30,0.3867,0.3667,0.4000,0.7600,0.0253
martial_arts,control,30,0.4933,0.4267,0.5600,0.8613,0.0481
martial_arts,repeat_short,30,0.5800,0.5332,0.6267,0.8760,0.0280
martial_arts,repeat_long,30,0.5733,0.5267,0.6200,0.8907,0.0386
martial_arts,distractor,30,0.2733,0.2267,0.3267,0.7573,0.0677
