topic,level,condition,n,exact_match_mean,exact_match_ci_lo,exact_match_ci_hi,per_statement_mean
astronomy,control,C1,30,0.8000,0.8000,0.8000,0.9200
astronomy,control,C2,30,0.8000,0.8000,0.8000,0.9200
astronomy,control,C3,30,0.8000,0.8000,0.8000,0.9200
astronomy,control,C4,30,0.8000,0.8000,0.8000,0.9200
astronomy,repeat_short,C1,30,0.8000,0.8000,0.8000,0.9200
astronomy,repeat_short,C2,30,0.8000,0.8000,0.8000,0.9200
astronomy,repeat_short,C3,30,0.8000,0.8000,0.8000,0.9200
astronomy,repeat_short,C4,30,0.8000,0.8000,0.8000,0.9200
astronomy,repeat_long,C1,30,0.8000,0.8000,0.8000,0.9200
astronomy,repeat_long,C2,30,0.8000,0.8000,0.8000,0.9200
astronomy,repeat_long,C3,30,0.8000,0.8000,0.8000,0.9200
astronomy,repeat_long,C4,30,0.8000,0.8000,0.8000,0.9200
astronomy,distractor,C1,30,0.8000,0.8000,0.8000,0.9200
astronomy,distractor,C2,30,0.8000,0.8000,0.8000,0.9200
astronomy,distractor,C3,30,0.8000,0.8000,0.8000,0.9200
astronomy,distractor,C4,30,0.8000,0.8000,0.8000,0.9200
fabrics,control,C1,30,0.7267,0.6933,0.7600,0.8907
fabrics,control,C2,30,0.6867,0.6267,0.7400,0.8787
fabrics,control,C3,30,0.7867,0.7667,0.8000,0.9147
fabrics,control,C4,30,0.7733,0.7467,0.7933,0.9093
fabrics,repeat_short,C1,30,0.8000,0.8000,0.8000,0.9200
fabrics,repeat_short,C2,30,0.8333,0.8000,0.8667,0.9333
fabrics,repeat_short,C3,30,0.8000,0.8000,0.8000,0.9213
fabrics,repeat_short,C4,30,0.8200,0.8000,0.8400,0.9280
fabrics,repeat_long,C1,30,0.8000,0.8000,0.8000,0.9200
fabrics,repeat_long,C2,30,0.8200,0.7933,0.8467,0.9280
fabrics,repeat_long,C3,30,0.8667,0.8333,0.9000,0.9467
fabrics,repeat_long,C4,30,0.8600,0.8267,0.8933,0.9453
fabrics,distractor,C1,30,0.6000,0.6000,0.6000,0.8400
fabrics,distractor,C2,30,0.6067,0.6000,0.6200,0.8453
fabrics,distractor,C3,30,0.6000,0.6000,0.6000,0.8400
fabrics,distractor,C4,30,0.6000,0.6000,0.6000,0.8400
fruits,control,C1,30,0.5867,0.5667,0.6000,0.8667
fruits,control,C2,30,0.6600,0.6267,0.6933,0.8880
fruits,control,C3,30,0.6000,0.6000,0.6000,0.8800
fruits,control,C4,30,0.6067,0.6000,0.6200,0.8813
fruits,repeat_short,C1,30,0.4467,0.4200,0.4800,0.8320
fruits,repeat_short,C2,30,0.4467,0.4200,0.4800,0.8253
fruits,repeat_short,C3,30,0.4733,0.4400,0.5067,0.8520
fruits,repeat_short,C4,30,0.4467,0.4200,0.4800,0.8467
fruits,repeat_long,C1,30,0.5667,0.5133,0.6200,0.8733
fruits,repeat_long,C2,30,0.5400,0.4800,0.6067,0.8680
fruits,repeat_long,C3,30,0.5400,0.4800,0.6067,0.8680
fruits,repeat_long,C4,30,0.5467,0.4867,0.6133,0.8693
fruits,distractor,C1,30,0.6000,0.6000,0.6000,0.8733
fruits,distractor,C2,30,0.5733,0.5467,0.5933,0.8653
fruits,distractor,C3,30,0.5800,0.5533,0.6000,0.8667
fruits,distractor,C4,30,0.5933,0.5800,0.6000,0.8627
martial_arts,control,C1,30,0.5800,0.5533,0.6067,0.9093
martial_arts,control,C2,30,0.5933,0.5800,0.6000,0.9120
martial_arts,control,C3,30,0.6667,0.6333,0.7000,0.9333
martial_arts,control,C4,30,0.6400,0.6133,0.6733,0.9280
martial_arts,repeat_short,C1,30,0.7000,0.6667,0.7333,0.9400
martial_arts,repeat_short,C2,30,0.8867,0.8533,0.9200,0.9773
martial_arts,repeat_short,C3,30,0.7933,0.7800,0.8000,0.9573
martial_arts,repeat_short,C4,30,0.8000,0.8000,0.8000,0.9600
martial_arts,repeat_long,C1,30,0.8000,0.8000,0.8000,0.9600
martial_arts,repeat_long,C2,30,0.8533,0.8267,0.8867,0.9707
martial_arts,repeat_long,C3,30,0.8200,0.8000,0.8400,0.9640
martial_arts,repeat_long,C4,30,0.8267,0.8000,0.8600,0.9640
martial_arts,distractor,C1,30,0.5467,0.5133,0.5800,0.8813
martial_arts,distractor,C2,30,0.5867,0.5267,0.6400,0.8733
martial_arts,distractor,C3,30,0.5600,0.5200,0.5933,0.8827
martial_arts,distractor,C4,30,0.5600,0.5200,0.5867,0.8813
